1	4.00	4.10	4.15	4.20	4.25	4.30	4.45	4.45
2	4.00	4.10	4.15	4.20	4.25	4.30	4.45	4.45
3	4.00	4.10	4.15	4.20	4.25	4.30	4.45	4.45
4	4.00	4.10	4.15	4.20	4.25	4.30	4.45	4.45
5	4.80	4.85	4.90	4.95	5.00	5.10	5.20	5.20
6	4.80	4.85	4.90	4.95	5.00	5.10	5.20	5.20
7	4.80	4.85	4.90	4.95	5.00	5.10	5.20	5.20
8	4.80	4.85	4.90	4.95	5.00	5.10	5.20	5.20
9	5.50	5.55	5.60	5.65	5.70	5.85	5.95	5.95
10	5.50	5.55	5.60	5.65	5.70	5.85	5.95	5.95
11	5.50	5.55	5.60	5.65	5.70	5.85	5.95	5.95
12	5.50	5.55	5.60	5.65	5.70	5.85	5.95	5.95
13	6.25	6.30	6.40	6.50	6.55	6.65	6.75	6.75
